group_type,group,frame,rank,tfidf,distilbert
period,4_local_campaign,sustainability,3,kli,plani
period,4_local_campaign,sustainability,4,klim,rantsal
period,4_local_campaign,sustainability,5,yeşil,projesi̇
period,4_local_campaign,sustainability,6,söyledi,muhalefeti̇n
period,4_local_campaign,sustainability,7,bahçesi,belediyesi
period,4_local_campaign,sustainability,8,yüzde,planimiz
period,4_local_campaign,sustainability,9,li,i̇kli̇m
period,4_local_campaign,sustainability,10,dönüşümü,katkı
period,5_post_local,technical,1,hatsu,altyapı
period,5_post_local,technical,2,su,bakani
period,5_post_local,technical,3,suyu,hatlari
period,5_post_local,technical,4,altyapı,deği̇şi̇kli̇ği̇
period,5_post_local,technical,5,sağlıklı,yerinde
period,5_post_local,technical,6,genel müdürlüğü,gören
period,5_post_local,technical,7,şekilde,teslim
period,5_post_local,technical,8,hattı,şehi̇rci̇li̇k
period,5_post_local,technical,9,inşa,yeni̇
period,5_post_local,technical,10,çalışmalar,hatsu
period,5_post_local,political,1,öntürk,platformu
period,5_post_local,political,2,il,mensupları
period,5_post_local,political,3,tl,basın
period,5_post_local,political,4,başkan öntürk,saygıdeğer
period,5_post_local,political,5,eden,konut
period,5_post_local,political,6,mehmet öntürk,birliğimizin
period,5_post_local,political,7,il genelinde,borsalar
period,5_post_local,political,8,hizmet,anahtar
period,5_post_local,political,9,yeni,milletim
period,5_post_local,political,10,deprem,kıymetli
period,5_post_local,development,1,tl,vatandaşımızın
period,5_post_local,development,2,altyapı,projesi̇
period,5_post_local,development,3,hatsu,saygılarımı
period,5_post_local,development,4,haberin görsellerini,hayırlı
period,5_post_local,development,5,bakım,sevgili
period,5_post_local,development,6,ediyor,mensupları
period,5_post_local,development,7,we tl,yatırım
period,5_post_local,development,8,https we,borsalarımızın
period,5_post_local,development,9,we,rixos
period,5_post_local,development,10,inşa,yilmaz
period,5_post_local,sustainability,1,atık,akcurun
period,5_post_local,sustainability,2,su,mensupları
period,5_post_local,sustainability,3,hbb,hizmetler
period,5_post_local,sustainability,4,çevre,dairesi
period,5_post_local,sustainability,5,temizlik,i̇kli̇m
period,5_post_local,sustainability,6,fotoğraflarını aşağıdaki,i̇hti̇yaci
period,5_post_local,sustainability,7,ekipleri,çevreye
period,5_post_local,sustainability,8,ni,nda
period,5_post_local,sustainability,9,dairesi,drone
period,5_post_local,sustainability,10,çalışmalar,altyapı
province,national,technical,1,kentsel,zemin
province,national,technical,2,dönüşüm,bi̇na
province,national,technical,3,kentsel dönüşüm,i̇lleri̇mi̇zde
province,national,technical,4,inşa,etki̇lenen
province,national,technical,5,konut,felaketi
province,national,technical,6,deprem,ihya
province,national,technical,7,şekilde,inşa
province,national,technical,8,köy,karadan
province,national,technical,9,şehircilik,ağir
province,national,technical,10,çevre şehircilik,depremler
province,national,political,1,allah,töreni
province,national,political,2,inşallah,depremzede
province,national,political,3,deprem,cumhuri̇yet
province,national,political,4,şehircilik,konut
province,national,political,5,çevre şehircilik,konutunun
province,national,political,6,kentsel,toplantısı
province,national,political,7,bugün,töreninde
province,national,political,8,söz,konutun
province,national,political,9,eden,ni̇san
province,national,political,10,an,kardeşleri̇mi̇ze
province,national,development,1,inşa,avcılık
province,national,development,2,konut,1620
province,national,development,3,teslim,ulaştırma
province,national,development,4,toki,planını
province,national,development,5,11,gençler
province,national,development,6,iş,sultanbeyli
